associated_gene,totalN,novelN
MCOLN3,2,0
MCPH1,505,360
MCRIP1,207,163
MCRIP2,74,32
MCRS1,254,212
MCTP1,215,95
MCTP2,1,1
MCTS1,186,133
MCU,78,44
MCUB,73,41
MCUR1,153,121
MDC1,35,3
MDFI,31,14
MDFIC,9,0
MDGA1,31,4
MDGA2,21,7
MDH1,646,548
MDH1B,100,51
MDH2,229,194
MDK,180,125
MDM1,241,139
MDM2,153,90
MDM4,131,73
MDN1,212,26
MDP1,91,55
ME1,114,50
ME2,223,116
ME3,193,143
MEA1,102,70
MEAF6,745,582
MEAK7,158,134
MECOM,23,13
MECP2,154,102
MECR,220,162
MED1,23,8
MED10,108,81
MED11,25,12
MED12,112,36
MED12L,64,21
MED13,90,6
MED13L,259,39
MED14,141,33
MED15,167,100
MED16,116,65
MED17,218,92
MED18,121,114
MED19,74,53
MED20,30,25
MED21,113,64
MED22,50,26
MED23,129,55
MED24,261,217
MED25,101,36
MED26,3,0
MED27,136,102
MED28,231,196
MED29,90,43
MED30,52,29
MED31,67,23
MED4,309,236
MED6,152,97
MED7,87,60
MED8,202,157
MED9,30,19
MEDAG,14,1
MEF2A,154,42
MEF2B,13,6
MEF2C,700,419
MEF2D,81,41
MEGF10,77,19
MEGF11,43,18
MEGF6,17,4
MEGF8,32,8
MEGF9,40,9
MEI1,15,7
MEIG1,15,8
MEIOB,8,6
MEIOC,8,8
MEIS1,95,23
MEIS2,1630,1168
MEIS3,210,120
MELK,158,103
MELTF,15,10
MEMO1,160,110
MEN1,86,51
MEOX1,1,0
MEOX2,5,0
MEPCE,77,22
MEPE,20,5
MERTK,88,34
MESD,109,68
MESP1,7,4
MESP2,6,1
MEST,166,110
MET,53,8
METAP1,184,121
METAP1D,86,41
METAP2,240,144
METRN,41,14
METRNL,16,0
METTL1,48,28
METTL14,140,98
METTL15,99,40
METTL16,161,112
METTL17,373,305
METTL18,26,13
METTL21A,151,78
METTL21C,12,3
METTL21EP,4,2
METTL22,152,90
METTL23,119,74
METTL24,6,6
METTL25,72,49
METTL26,280,236
METTL27,12,8
METTL2A,173,121
METTL2B,248,176
METTL3,192,139
METTL4,111,40
METTL5,250,180
METTL6,322,254
METTL7A,111,86
METTL7B,14,0
METTL8,85,48
METTL9,135,109
MEX3A,8,2
MEX3B,25,20
MEX3C,9,4
MEX3D,3,0
MFAP1,112,52
MFAP2,182,161
MFAP3,90,52
MFAP3L,28,17
MFAP4,41,30
MFAP5,3,0
MFF,607,365
MFGE8,90,41
MFHAS1,24,8
MFN1,205,56
MFN2,229,173
MFNG,61,57
MFSD1,182,95
MFSD10,312,253
MFSD11,159,85
MFSD12,65,43
MFSD13A,172,128
MFSD14A,128,68
MFSD14B,55,22
MFSD2A,100,56
MFSD2B,4,4
MFSD3,135,96
MFSD4A,149,54
MFSD4B,20,6
MFSD5,19,9
MFSD6,166,30
MFSD6L,2,0
MFSD8,125,43
MFSD9,47,26
MGA,125,24
MGARP,9,1
MGAT1,71,53
MGAT2,124,22
MGAT3,61,59
MGAT4A,50,21
MGAT4B,53,41
MGAT4C,45,15
MGAT5,15,7
MGAT5B,82,49
MGLL,154,77
MGME1,128,52
MGMT,46,25
MGP,21,10
MGRN1,46,17
MGST1,87,56
MGST2,33,15
MGST3,322,255
MIA,15,11
MIA-RAB4B,1,1
MIA2,264,177
MIA3,436,140
MIB1,74,15
MIB2,102,47
MICA,15,5
MICAL1,436,347
MICAL2,445,283
MICAL3,46,9
MICALL1,43,10
MICALL2,43,16
MICOS10,271,235
MICOS13,107,68
MICU1,397,322
MICU2,292,226
MICU3,161,88
MID1,109,52
MID1IP1,24,11
MID2,24,12
MIDEAS,7,3
MIDN,67,53
MIEF1,81,21
MIEF2,39,18
MIEN1,63,49
MIER1,290,181
MIER2,67,47
MIER3,40,19
MIF,124,108
MIF4GD,56,21
MIGA1,91,39
MIGA2,55,23
MIIP,159,91
MILR1,10,7
MINAR1,1,0
MINAR2,5,0
MINDY1,67,43
MINDY2,42,18
MINDY3,280,194
MINDY4,77,33
MINDY4B,6,2
MINK1,188,103
MINPP1,110,65
MIOS,240,119
MIP,1,1
MIPEP,90,59
MIPOL1,78,37
MIS12,95,40
MIS18A,42,25
MIS18BP1,188,53
MISP,1,0
MISP3,17,7
MITD1,170,91
MITF,8,2
MIX23,97,63
MKI67,103,6
MKKS,176,110
MKLN1,154,74
MKNK1,141,76
MKNK2,52,22
MKRN1,262,184
MKRN2,135,40
MKRN2OS,24,14
MKRN3,41,16
MKS1,131,57
MKX,19,5
MLC1,222,176
MLEC,59,18
MLF1,130,46
MLF2,494,456
MLH1,245,134
MLH3,149,61
MLIP,134,98
MLKL,13,7
MLLT1,33,12
MLLT10,139,38
MLLT11,854,830
MLLT3,310,114
MLLT6,38,6
MLN,2,2
MLPH,1,1
MLST8,292,228
MLX,333,233
MLXIP,45,32
MLXIPL,35,20
MLYCD,26,3
MMAA,74,17
MMAB,150,102
MMACHC,56,49
MMADHC,217,139
MMD,88,40
MMD2,39,27
MME,12,2
MMEL1,9,6
MMGT1,60,13
MMP1,1,0
MMP10,1,0
MMP11,21,4
MMP14,6,4
MMP15,16,1
MMP16,92,6
MMP17,75,21
MMP19,1,0
MMP2,39,6
MMP21,2,1
MMP23B,4,0
MMP24,41,15
MMP24OS,46,24
MMP28,62,35
MMP3,1,0
MMRN1,14,2
MMRN2,12,1
MMS19,251,188
MMS22L,80,35
MMUT,214,95
MN1,58,38
MNAT1,219,148
MND1,70,41
MNDA,31,9
MNS1,102,38
MNT,13,5
MOAP1,42,23
MOB1A,97,33
MOB1B,35,14
MOB2,33,26
MOB3A,51,31
MOB3B,35,8
MOB3C,21,6
MOB4,201,125
MOBP,182,74
MOCOS,7,5
MOCS1,68,33
MOCS2,274,186
MOCS3,143,3
MOG,28,26
MOGAT1,2,2
MOGS,29,10
MOK,330,245
MON1A,57,34
MON1B,92,32
MON2,178,51
MORC1,2,1
MORC2,118,49
MORC3,197,121
MORC4,34,4
MORF4L1,1236,1114
MORF4L2,403,320
MORN1,61,33
MORN2,44,26
MORN3,55,36
MORN4,104,85
MORN5,15,6
MOS,2,0
MOSMO,18,9
MOSPD1,95,42
MOSPD2,70,23
MOSPD3,117,63
MOV10,89,23
MOV10L1,24,9
MOXD1,103,36
MPC1,142,89
MPC2,178,143
MPDU1,111,69
MPDZ,224,62
MPEG1,25,0
MPG,46,32
MPHOSPH10,218,115
MPHOSPH6,139,85
MPHOSPH8,337,171
MPHOSPH9,91,40
MPI,161,67
MPL,31,14
MPLKIP,86,60
MPND,88,19
MPO,24,8
MPP1,118,76
MPP2,140,58
MPP3,190,121
MPP4,3,0
MPP7,55,17
MPPE1,280,181
MPPED1,230,180
MPPED2,340,242
MPRIP,290,70
MPST,82,56
MPV17,347,286
MPV17L,41,21
MPV17L2,48,29
MPZ,32,30
MPZL1,133,55
MPZL2,7,1
MPZL3,5,0
MR1,15,3
MRAP,7,2
MRAP2,43,33
MRAS,212,102
MRC1,23,2
MRC2,46,16
MRE11,134,66
MREG,38,37
MRFAP1,409,385
MRFAP1L1,112,96
MRGBP,77,43
MRGPRE,1,0
MRGPRF,9,4
MRI1,156,140
MRLN,1,0
MRM1,11,3
MRM2,101,73
MRM3,50,26
MRNIP,222,187
MRO,59,16
MROH1,184,107
MROH2A,6,6
MROH7,17,2
MROH7-TTC4,4,2
MROH8,74,51
MRPL1,192,137
MRPL10,85,64
MRPL11,124,92
MRPL12,42,23
MRPL13,149,104
MRPL14,50,33
MRPL15,137,114
MRPL16,66,41
MRPL17,41,18
MRPL18,181,140
MRPL19,109,61
MRPL2,103,59
MRPL20,115,92
MRPL21,146,113
MRPL22,140,80
MRPL23,53,39
MRPL24,151,133
MRPL27,109,71
MRPL28,153,113
MRPL3,307,190
MRPL30,249,166
MRPL32,87,53
MRPL33,156,134
MRPL34,41,34
MRPL35,87,35
MRPL36,49,27
MRPL37,175,127
MRPL38,147,106
MRPL39,142,117
MRPL4,133,75
MRPL40,65,29
MRPL41,44,41
MRPL42,297,216
MRPL43,151,104
MRPL44,80,48
MRPL45,33,15
MRPL46,66,39
MRPL47,182,134
MRPL48,239,173
MRPL49,69,41
MRPL50,64,44
MRPL51,82,50
MRPL52,124,71
MRPL53,47,22
MRPL54,23,13
MRPL55,179,149
MRPL57,44,30
MRPL58,73,37
MRPL9,158,113
MRPS10,167,133
MRPS11,172,96
MRPS12,45,22
MRPS14,100,46
MRPS15,171,121
MRPS16,221,174
MRPS17,45,28
MRPS18A,116,65
MRPS18B,21,10
MRPS18C,177,111
MRPS2,62,30
MRPS21,407,385
MRPS22,190,96
MRPS23,88,55
MRPS24,65,54
MRPS25,134,74
MRPS26,62,42
MRPS27,176,128
MRPS28,110,89
MRPS30,144,80
MRPS31,126,72
MRPS33,112,77
MRPS34,89,73
MRPS35,172,118
MRPS36,99,49
MRPS5,317,189
MRPS6,111,76
MRPS7,160,94
MRPS9,156,106
MRRF,170,108
MRS2,189,115
MRTFA,73,39
MRTFB,143,48
MRTO4,250,205
MS4A1,1,1
MS4A4A,18,6
MS4A6A,21,6
MS4A6E,1,0
MS4A7,23,10
MS4A8,14,6
MSANTD1,27,16
MSANTD2,75,25
MSANTD3,86,42
MSANTD3-TMEFF1,45,31
MSANTD4,148,68
MSANTD5,1,0
MSC,11,0
MSGN1,2,0
MSH2,225,98
MSH3,179,59
MSH5,11,4
MSH5-SAPCD1,2,2
MSH6,261,110
MSI1,48,25
MSI2,373,229
MSL1,132,17
MSL2,31,14
MSL3,202,95
MSLN,3,0
MSMO1,240,172
MSMP,5,1
MSN,127,67
MSR1,5,0
MSRA,388,305
MSRB1,27,17
MSRB2,72,53
MSRB3,35,13
MSS51,6,3
MST1,69,58
MST1R,1,0
MSTN,11,1
MSTO1,189,139
MSX1,6,1
MSX2,12,1
MT1A,8,3
MT1E,33,24
MT1F,25,14
MT1G,17,12
MT1H,6,1
MT1M,19,7
MT1X,22,12
MT2A,51,38
MT3,98,80
MTA1,151,75
MTA2,148,115
MTA3,219,68
MTAP,89,31
MTARC1,51,21
MTARC2,99,46
MTBP,70,20
MTCH1,461,402
MTCH2,1520,1404
MTCL1,92,7
MTCP1,2,1
MTDH,303,157
MTERF1,105,63
MTERF2,81,35
MTERF3,95,57
MTERF4,241,133
MTF1,20,8
MTF2,337,197
MTFMT,123,73
MTFP1,39,15
MTFR1,79,46
MTFR1L,308,211
MTFR2,30,14
MTG1,221,138
MTG2,167,114
MTHFD1,266,170
MTHFD1L,154,71
MTHFD2,94,35
MTHFD2L,115,55
MTHFR,67,37
MTHFS,36,28
MTHFSD,79,43
MTIF2,191,133
MTIF3,195,137
MTLN,27,24
MTM1,84,63
MTMR1,76,24
MTMR10,34,8
MTMR11,40,25
MTMR12,54,25
MTMR14,221,125
MTMR2,228,98
MTMR3,179,41
MTMR4,128,80
MTMR6,111,38
MTMR7,168,67
MTMR8,16,5
MTMR9,38,2
MTNR1B,2,0
MTO1,187,59
MTOR,153,63
MTPAP,81,47
MTPN,101,77
MTR,140,36
MTRES1,158,104
MTREX,263,137
MTRF1,167,110
MTRF1L,171,76
MTRR,167,82
MTSS1,131,57
MTSS2,71,66
MTTP,18,1
MTURN,291,258
MTUS1,132,72
MTUS2,61,17
MTX1,74,36
MTX2,275,201
MTX3,21,1
MUC1,7,1
MUC12,26,12
MUC20,4,0
MUC3A,11,1
MUC5AC,1,0
MUCL1,14,9
MUL1,39,30
MUS81,218,140
MUSTN1,19,4
MUTYH,282,245
MVB12A,117,81
MVB12B,40,19
MVD,168,129
MVK,119,62
MVP,63,21
MX1,175,50
MX2,19,5
MXD1,31,11
MXD3,52,27
MXD4,56,31
MXI1,196,97
MXRA5,2,0
MXRA7,40,12
MXRA8,39,24
MYADM,86,54
MYADML2,1,1
MYB,24,0
MYBBP1A,100,49
MYBL1,21,1
MYBL2,49,13
MYBPC1,132,30
MYBPC2,15,4
MYBPH,1,0
MYBPHL,27,19
MYC,76,14
MYCBP,67,39
MYCBP2,424,84
MYCBPAP,14,9
MYCL,18,4
MYCN,15,8
MYCT1,18,7
MYD88,61,14
MYDGF,75,61
MYEF2,324,220
MYF6,10,1
MYG1,177,120
MYH10,508,198
MYH11,22,4
MYH13,3,1
MYH14,61,5
MYH15,30,10
MYH3,22,1
MYH6,3,2
MYH7,37,5
MYH7B,74,19
MYH9,209,56
MYL1,2,0
MYL12A,59,34
MYL12B,201,163
MYL2,1,0
MYL3,30,20
MYL4,20,9
MYL5,93,64
MYL6,866,756
MYL6B,427,363
MYL7,4,1
MYL9,13,3
MYLIP,39,31
MYLK,68,25
MYLK2,21,13
MYLK3,2,1
MYMK,1,1
MYNN,218,107
MYO10,220,112
MYO15A,45,21
MYO15B,97,57
MYO16,87,30
MYO18A,212,100
MYO19,55,21
MYO1B,169,22
MYO1C,47,10
MYO1D,36,10
MYO1E,68,12
MYO1F,13,4
MYO1G,4,0
MYO1H,2,2
MYO3A,78,36
MYO5A,347,141
MYO5B,65,33
MYO5C,26,7
MYO6,417,176
MYO7A,34,21
MYO7B,4,2
MYO9A,212,59
MYO9B,70,48
MYOC,1,0
MYOF,24,6
MYOG,1,0
MYOM1,47,10
MYOM2,93,59
MYORG,16,11
MYOT,31,16
MYOZ1,5,4
MYOZ2,8,1
MYOZ3,35,2
MYPOP,6,3
MYRF,64,27
MYRIP,100,23
MYSM1,113,49
MYT1,69,16
MYT1L,460,95
MYZAP,13,3
MZB1,1,0
MZF1,65,45
MZT1,86,39
MZT2A,158,133
MZT2B,147,117
N4BP1,45,20
N4BP2,238,82
N4BP2L1,146,63
N4BP2L2,415,203
N4BP3,27,15
N6AMT1,54,17
NAA10,142,98
NAA11,3,3
NAA15,145,49
NAA16,138,53
NAA20,175,121
NAA25,122,31
NAA30,96,27
NAA35,219,94
NAA38,73,59
NAA40,133,72
NAA50,76,20
NAA60,192,128
NAA80,29,16
NAAA,84,54
NAALAD2,77,13
NAALADL1,32,16
NAALADL2,70,45
NAB1,150,60
NAB2,211,170
NABP1,39,10
NABP2,174,152
NACA,894,776
NACA2,5,0
NACAD,158,114
NACC1,6,3
NACC2,7,6
NADK,81,51
NADK2,146,55
NADSYN1,135,67
NAE1,583,499
NAF1,58,16
NAGA,81,40
NAGK,344,213
NAGLU,32,14
NAGPA,197,151
NAGS,15,6
NAIF1,23,12
NAIP,11,3
NALCN,128,33
NAMPT,174,31
NANOS1,59,0
NANOS3,40,14
NANP,15,2
NANS,64,47
NAP1L1,2971,2628
NAP1L2,138,97
NAP1L3,148,148
NAP1L4,782,670
NAP1L5,102,56
NAPA,479,435
NAPB,337,308
NAPEPLD,118,39
NAPG,371,309
NAPRT,60,33
NAPSA,3,0
NARF,358,264
NARS1,493,375
NARS2,281,241
NASP,644,399
NAT1,11,1
NAT10,137,49
NAT14,51,41
NAT16,26,4
NAT2,1,0
NAT8B,1,0
NAT8L,4,4
NAT9,180,151
NATD1,6,1
NAV1,169,48
NAV2,103,49
NAV3,157,28
NAXD,291,243
NAXE,158,107
NBAS,181,85
NBDY,93,44
NBEA,353,112
NBEAL1,121,70
NBEAL2,45,11
NBL1,44,31
NBN,185,81
NBPF1,206,139
NBPF10,313,86
NBPF11,60,10
NBPF12,157,67
NBPF14,357,47
NBPF15,141,86
NBPF19,369,55
NBPF20,563,127
NBPF26,81,28
NBPF3,65,38
NBPF8,107,45
NBPF9,143,73
NBR1,370,243
NCALD,333,224
NCAM1,549,420
NCAM2,275,104
NCAN,265,95
NCAPD2,159,66
NCAPD3,93,44
NCAPG,267,120
NCAPG2,129,68
NCAPH,90,50
NCAPH2,220,157
NCBP1,268,103
NCBP2,233,131
NCBP2AS2,49,16
NCBP2L,1,0
NCBP3,184,92
NCDN,233,177
NCEH1,51,28
NCF1,4,1
NCF2,12,2
NCF4,10,0
NCK1,91,33
NCK2,75,41
NCKAP1,376,167
NCKAP1L,23,8
NCKAP5,85,41
NCKAP5L,91,52
NCKIPSD,200,175
NCL,1072,870
NCLN,70,20
NCMAP,1,1
NCOA1,168,32
NCOA2,93,31
NCOA3,60,33
NCOA4,230,150
NCOA5,105,72
NCOA6,166,103
NCOA7,251,111
NCOR1,472,198
NCOR2,89,28
NCR3LG1,32,11
NCS1,162,95
NCSTN,165,116
NDC1,74,34
NDC80,118,70
NDE1,59,44
NDEL1,181,134
NDFIP1,592,493
NDFIP2,194,95
NDN,49,21
NDNF,10,0
NDOR1,47,21
NDP,35,22
NDRG1,158,123
NDRG2,2260,2154
NDRG3,551,459
NDRG4,971,834
NDST1,108,56
NDST2,83,52
NDST3,73,12
NDST4,45,19
NDUFA1,99,71
NDUFA10,303,183
NDUFA11,113,101
NDUFA12,149,121
NDUFA13,743,685
NDUFA2,78,57
NDUFA3,54,34
NDUFA4,300,264
NDUFA4L2,71,52
NDUFA5,545,380
NDUFA6,52,37
NDUFA7,75,39
NDUFA8,92,71
NDUFA9,212,160
NDUFAB1,140,98
NDUFAF1,92,56
NDUFAF2,106,70
NDUFAF3,121,69
NDUFAF4,96,62
NDUFAF5,366,240
NDUFAF6,215,138
NDUFAF7,219,154
NDUFAF8,38,20
NDUFB1,149,125
NDUFB10,75,51
NDUFB11,89,75
NDUFB2,215,171
NDUFB3,71,45
NDUFB4,65,46
NDUFB5,159,118
NDUFB6,123,89
NDUFB7,93,81
NDUFB8,334,276
NDUFB9,142,100
NDUFC1,160,121
NDUFC2,282,257
NDUFC2-KCTD14,7,1
NDUFS1,413,306
NDUFS2,441,269
NDUFS3,171,125
NDUFS4,122,87
NDUFS5,135,118
NDUFS6,121,106
NDUFS7,271,227
NDUFS8,255,248
NDUFV1,486,375
NDUFV2,229,166
NDUFV3,513,458
NEB,13,5
NEBL,381,200
NECAB1,208,132
NECAB2,107,61
NECAB3,86,48
NECAP1,377,313
NECAP2,135,77
NECTIN1,32,17
NECTIN2,72,21
NECTIN3,94,21
NEDD1,144,74
NEDD4,31,11
NEDD4L,392,162
NEDD8,208,169
NEDD8-MDP1,30,28
NEDD9,68,24
NEFH,51,15
NEFL,951,863
NEFM,1258,1191
NEGR1,222,114
NEIL1,242,155
NEIL2,85,48
NEIL3,158,87
NEK1,243,116
NEK10,39,20
NEK11,157,94
NEK2,77,41
NEK3,93,52
NEK4,130,72
NEK5,13,10
NEK6,120,45
NEK7,25,6
NEK8,11,9
NEK9,79,26
NELFA,202,148
NELFB,77,43
NELFCD,397,284
NELFE,88,52
NELL1,162,34
NELL2,987,727
NEMF,570,256
NEMP1,37,15
NEMP2,17,10
NENF,21,6
NEO1,181,45
NEPRO,204,117
NES,78,30
NET1,121,62
NETO1,118,67
NETO2,176,59
NEU1,30,17
NEU3,21,9
NEU4,10,6
NEURL1,57,24
NEURL1B,9,6
NEURL2,16,4
NEURL3,11,5
NEURL4,70,28
NEUROD1,114,77
NEUROD2,43,40
NEUROD4,10,1
NEUROD6,595,562
NEUROG1,23,5
NEUROG2,50,47
NEUROG3,3,1
NEXMIF,18,2
NEXN,19,2
NF1,514,139
NF2,127,18
NFAM1,4,2
NFASC,110,52
NFAT5,63,16
NFATC1,5,1
NFATC2IP,45,15
NFATC3,17,0
NFATC4,115,24
NFE2,9,1
NFE2L1,120,50
NFE2L2,114,69
NFE2L3,8,1
NFIA,369,155
NFIB,447,178
NFIC,15,8
NFIL3,16,14
NFIX,173,100
NFKB1,53,7
NFKB2,34,7
NFKBIA,53,30
NFKBIB,33,3
NFKBID,32,22
NFKBIE,26,5
NFKBIL1,19,5
NFKBIZ,5,0
NFRKB,106,47
NFS1,113,59
NFU1,122,92
NFX1,248,132
NFXL1,133,53
NFYA,89,35
NFYB,193,81
NFYC,301,217
NGB,34,20
NGDN,216,158
NGEF,99,52
NGF,6,1
NGFR,8,0
NGLY1,184,90
NGRN,476,447
NHEJ1,44,28
NHLH1,30,23
NHLH2,15,5
NHLRC1,28,3
NHLRC2,64,7
NHLRC3,100,26
NHLRC4,2,0
NHP2,148,121
NHS,8,7
NHSL1,129,35
NHSL2,8,6
NIBAN1,3,0
NIBAN2,22,3
NICN1,406,377
NID1,27,1
NID2,25,7
NIF3L1,139,69
NIFK,234,169
NIM1K,84,44
NIN,313,65
NINJ1,16,7
NINJ2,14,8
NINL,97,33
NIP7,83,30
NIPA1,37,9
NIPA2,321,183
NIPAL1,2,1
NIPAL2,15,3
NIPAL3,99,57
NIPAL4,8,1
NIPBL,550,80
NIPSNAP1,444,410
NIPSNAP2,260,210
NIPSNAP3A,161,99
NIPSNAP3B,130,66
NISCH,215,91
NIT1,158,100
NIT2,231,159
NKAIN1,37,3
NKAIN2,84,55
NKAIN3,42,13
NKAIN4,96,71
NKAP,139,93
NKAPD1,205,105
NKAPL,24,0
NKD1,13,3
NKD2,9,2
NKG7,4,0
NKIRAS1,223,172
NKIRAS2,89,54
NKRF,46,21
NKTR,285,108
NKX2-1,2,0
NKX2-2,6,2
NKX2-8,1,0
NKX3-1,3,1
NKX6-2,9,0
NKX6-3,1,1
NLE1,144,101
NLGN1,49,8
NLGN2,35,34
NLGN3,179,100
NLGN4X,112,55
NLGN4Y,92,48
NLK,163,50
NLN,134,28
NLRC3,6,5
NLRC4,5,0
NLRC5,18,2
NLRP1,4,2
NLRP11,2,1
NLRP12,4,1
NLRP14,3,0
NLRP2,12,2
NLRP2B,1,0
NLRP3,24,3
NLRX1,57,16
NMB,9,4
NMBR,19,9
NMD3,299,232
NME1,190,149
NME1-NME2,42,31
NME2,231,200
NME3,95,73
NME4,144,67
NME5,147,115
NME6,89,37
NME7,211,152
NME9,63,44
NMI,24,7
NMNAT1,73,56
NMNAT2,123,88
NMNAT3,86,47
NMRAL1,122,90
NMRK1,250,193
NMRK2,1,1
NMS,3,2
NMT1,118,82
NMT2,209,127
NMU,54,33
NMUR1,2,0
NMUR2,5,4
NNAT,842,816
NNMT,33,16
NNT,323,121
NOA1,112,67
NOB1,86,46
NOC2L,254,191
NOC3L,111,40
NOC4L,109,76
NOCT,31,23
NOD1,28,10
NODAL,16,3
NOG,34,0
NOL10,132,52
NOL11,243,153
NOL12,141,107
NOL3,60,19
NOL4,164,60
NOL4L,99,53
NOL6,121,51
NOL7,270,200
NOL8,222,111
NOL9,113,82
NOLC1,200,90
NOM1,58,29
NOMO1,100,22
NOMO2,231,82
NOMO3,111,9
NONO,649,458
NOP10,46,37
NOP14,154,80
NOP16,91,62
NOP2,108,98
NOP53,263,209
NOP56,462,361
NOP58,527,358
NOP9,39,16
NOS1,1,1
NOS1AP,27,10
NOS2,49,22
NOS3,30,2
NOSIP,135,90
NOSTRIN,40,29
NOTCH1,24,2
NOTCH2,19,1
NOTCH2NLA,31,9
NOTCH2NLB,21,9
NOTCH2NLC,25,1
NOTCH2NLR,12,0
NOTCH3,19,7
NOTCH4,12,5
NOTUM,7,2
NOVA1,228,62
NOVA2,6,6
NOX3,2,0
NOX4,22,9
NOX5,1,1
NOXA1,72,52
NOXO1,12,7
NPAP1,8,0
NPAS1,30,12
NPAS2,105,53
NPAS3,14,5
NPAS4,7,0
NPAT,101,32
NPB,7,1
NPBWR1,2,2
NPC1,158,74
NPC2,45,29
NPDC1,109,86
NPEPL1,158,57
NPEPPS,402,210
NPFF,7,0
NPFFR1,1,1
NPFFR2,10,0
NPHP1,99,28
NPHP3,39,3
NPHP3-ACAD11,11,0
NPHP4,71,48
NPHS1,13,12
NPIPA1,226,167
NPIPA3,2,0
NPIPA5,12,7
NPIPA7,19,7
NPIPA8,36,25
NPIPA9,255,221
NPIPB11,15,13
NPIPB12,30,19
NPIPB13,39,30
NPIPB15,22,14
NPIPB2,41,41
NPIPB3,122,105
NPIPB4,74,57
NPIPB5,162,133
NPIPB6,14,7
NPIPB7,12,3
NPIPB8,4,1
NPIPB9,8,4
NPL,165,111
NPLOC4,54,15
NPM1,666,527
NPM2,415,336
NPM3,36,19
NPNT,24,4
NPPA,26,16
NPPB,7,0
NPPC,5,1
NPR1,4,0
NPR2,128,56
NPR3,91,8
NPRL2,294,245
NPRL3,183,130
NPSR1,1,1
NPTN,594,539
NPTX1,53,31
NPTX2,52,24
NPTXR,28,24
NPVF,2,0
NPW,8,2
NPY,57,26
NPY1R,52,34
NPY2R,5,0
NPY5R,56,35
NQO1,59,16
NQO2,165,116
NR0B1,9,0
NR1D1,58,27
NR1D2,42,5
NR1H2,127,80
NR1H3,135,87
NR1H4,1,1
NR1I2,3,3
NR2C1,280,178
NR2C2,26,8
NR2C2AP,129,118
NR2E1,122,51
NR2F1,132,115
NR2F2,63,23
NR2F6,11,3
NR3C1,63,37
NR3C2,54,3
NR4A1,141,77
NR4A2,115,80
NR6A1,7,3
NRAP,7,2
NRARP,23,0
NRAS,129,84
NRBF2,65,43
NRBP1,385,308
NRBP2,67,16
NRCAM,1075,829
NRDC,502,423
NRDE2,72,50
NREP,878,770
NRF1,85,28
NRG1,128,26
NRG2,3,3
NRG3,58,22
NRG4,17,16
NRGN,349,338
NRIP1,30,8
NRIP2,22,8
NRIP3,53,29
NRL,10,4
NRM,11,1
NRN1,255,196
NRN1L,11,3
NRP1,113,32
NRP2,54,13
NRROS,1,0
NRSN1,224,182
NRSN2,312,250
NRXN1,971,613
NRXN2,186,152
NRXN3,70,33
NSA2,167,86
NSD1,152,47
NSD2,260,102
NSD3,320,90
NSDHL,123,71
NSF,193,111
NSFL1C,336,269
NSG1,380,273
NSG2,524,487
NSL1,144,85
NSMAF,113,51
NSMCE1,98,73
NSMCE2,142,101
NSMCE3,51,26
NSMCE4A,177,135
NSMF,139,88
NSRP1,171,99
NSUN2,134,71
NSUN3,98,59
NSUN4,49,13
NSUN5,110,73
NSUN6,163,115
NSUN7,48,14
NT5C,74,44
NT5C1A,15,12
NT5C2,392,283
NT5C3A,206,126
NT5C3B,230,172
NT5DC1,130,54
NT5DC2,201,154
NT5DC3,7,1
NT5E,52,7
NT5M,41,32
NTAN1,94,46
NTAQ1,85,44
NTF3,16,9
NTHL1,60,38
NTM,515,386
NTMT1,122,69
NTN1,4,2
NTN4,36,16
NTNG1,382,207
NTPCR,150,95
NTRK1,7,2
NTRK2,251,109
NTRK3,139,97
NTS,54,30
NTSR1,14,2
NTSR2,29,21
NUAK1,58,21
NUAK2,18,5
NUB1,280,118
NUBP1,117,68
NUBP2,156,99
NUBPL,71,43
NUCB1,319,253
NUCB2,508,357
NUCKS1,153,89
NUDC,304,234
NUDCD1,112,44
NUDCD2,144,105
NUDCD3,170,111
NUDT1,53,34
NUDT10,51,36
NUDT11,118,94
NUDT12,63,30
NUDT13,30,12
NUDT14,65,57
NUDT15,42,28
NUDT16,59,10
NUDT16L1,42,21
NUDT17,59,45
NUDT18,7,0
NUDT19,19,1
NUDT2,43,29
NUDT21,171,112
NUDT22,97,52
NUDT3,208,131
NUDT4,110,29
NUDT4B,50,0
NUDT5,207,183
NUDT6,45,29
NUDT7,60,40
NUDT8,11,2
NUDT9,170,101
NUF2,139,89
NUFIP1,75,18
NUFIP2,42,3
NUMA1,265,142
NUMB,239,151
NUMBL,23,8
NUP107,283,155
NUP133,208,67
NUP153,79,11
NUP155,107,32
NUP160,234,93
NUP188,136,57
NUP205,153,41
NUP210,47,9
NUP210L,3,3
NUP214,247,110
NUP35,91,49
NUP37,69,40
NUP42,192,120
NUP43,152,122
NUP50,180,66
NUP54,238,174
NUP58,142,70
NUP62,54,29
NUP62CL,25,18
NUP85,309,189
NUP88,323,218
NUP93,390,211
NUP98,138,24
NUPR1,19,6
NUPR2,2,0
NUS1,75,20
NUSAP1,411,313
NUTF2,248,205
NUTM2A,2,1
NUTM2B,3,3
NUTM2D,1,1
NUTM2E,3,3
NVL,272,188
NWD1,13,2
NWD2,34,0
NXF1,192,140
NXF2,2,0
NXN,29,16
NXNL1,1,1
NXNL2,10,6
NXPE3,108,51
NXPH1,26,24
