seqnames	start	end	strand	transcript_id	type	source	score	phase	gene_id
chr17	820	1531	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000572105.7	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000572105.7	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000572105.7	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000572105.7	intron	PacBio	NA	NA	ACTG1
chr17	2030	2267	-	ENST00000572105.7	CDS	PacBio	NA	NA	ACTG1
chr17	2268	2468	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	2468	2605	-	ENST00000572105.7	intron	NA	NA	NA	NA
chr17	2605	2645	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	2645	2745	-	ENST00000572105.7	intron	NA	NA	NA	NA
chr17	2745	2984	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	2984	3074	-	ENST00000572105.7	intron	NA	NA	NA	NA
chr17	3074	3202	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000572105.7	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000572105.7	UTR	NA	NA	NA	NA
chr17	813	1531	-	ENST00000573283.7	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000573283.7	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000573283.7	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000573283.7	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000573283.7	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000573283.7	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000573283.7	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000573283.7	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000573283.7	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000573283.7	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000573283.7	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000573283.7	intron	NA	NA	NA	NA
chr17	3576	3641	-	ENST00000573283.7	UTR	NA	NA	NA	NA
chr17	819	1531	-	ENST00000574671.6	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000574671.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000574671.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000574671.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000574671.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000574671.6	CDS	PacBio	NA	NA	ACTG1
chr17	2469	2984	-	ENST00000574671.6	UTR	NA	NA	NA	NA
chr17	2984	3074	-	ENST00000574671.6	intron	NA	NA	NA	NA
chr17	3074	3202	-	ENST00000574671.6	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000574671.6	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000574671.6	UTR	NA	NA	NA	NA
chr17	850	1531	-	ENST00000575087.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000575087.5	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000575087.5	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000575087.5	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000575087.5	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000575087.5	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000575087.5	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000575087.5	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000575087.5	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000575087.5	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000575087.5	UTR	NA	NA	NA	NA
chr17	3202	3448	-	ENST00000575087.5	intron	NA	NA	NA	NA
chr17	3448	3632	-	ENST00000575087.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000575659.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000575659.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000575659.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000575659.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000575659.6	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000575659.6	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000575659.6	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000575659.6	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000575659.6	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000575659.6	UTR	NA	NA	NA	NA
chr17	3202	4622	-	ENST00000575659.6	intron	NA	NA	NA	NA
chr17	4622	4715	-	ENST00000575659.6	UTR	NA	NA	NA	NA
chr17	831	1531	-	ENST00000575842.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000575842.5	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000575842.5	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000575842.5	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000575842.5	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000575842.5	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000575842.5	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000575842.5	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000575842.5	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000575842.5	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3623	-	ENST00000575842.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000575994.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000575994.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000575994.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000575994.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000575994.6	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000575994.6	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000575994.6	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000575994.6	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000575994.6	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000575994.6	UTR	NA	NA	NA	NA
chr17	3202	4951	-	ENST00000575994.6	intron	NA	NA	NA	NA
chr17	4951	5156	-	ENST00000575994.6	UTR	NA	NA	NA	NA
chr17	847	1531	-	ENST00000576209.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000576209.5	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000576209.5	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000576209.5	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000576209.5	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000576209.5	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000576209.5	intron	PacBio	NA	NA	ACTG1
chr17	2745	2981	-	ENST00000576209.5	CDS	PacBio	NA	NA	ACTG1
chr17	2982	2992	-	ENST00000576209.5	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000576214.3	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000576214.3	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000576214.3	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000576214.3	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000576214.3	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000576214.3	CDS	PacBio	NA	NA	ACTG1
chr17	2469	2645	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	2645	2745	-	ENST00000576214.3	intron	NA	NA	NA	NA
chr17	2745	2984	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	2984	3074	-	ENST00000576214.3	intron	NA	NA	NA	NA
chr17	3074	3202	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000576214.3	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000576214.3	UTR	NA	NA	NA	NA
chr17	755	1171	-	ENST00000576544.6	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000576544.6	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000576544.6	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000576544.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000576544.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000576544.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000576544.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000576544.6	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000576544.6	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000576544.6	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000576544.6	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000576544.6	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000576544.6	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000576544.6	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000576544.6	UTR	NA	NA	NA	NA
chr17	834	1675	-	ENST00000576917.5	UTR	NA	NA	NA	NA
chr17	1675	1769	-	ENST00000576917.5	intron	NA	NA	NA	NA
chr17	1769	1970	-	ENST00000576917.5	UTR	NA	NA	NA	NA
chr17	1971	2468	-	ENST00000576917.5	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000576917.5	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000576917.5	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000576917.5	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000576917.5	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000576917.5	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000576917.5	intron	NA	NA	NA	NA
chr17	3576	3622	-	ENST00000576917.5	UTR	NA	NA	NA	NA
chr17	818	1531	-	ENST00000615544.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000615544.5	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000615544.5	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000615544.5	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000615544.5	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000615544.5	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000615544.5	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000615544.5	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000615544.5	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000615544.5	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000615544.5	UTR	NA	NA	NA	NA
chr17	3202	4081	-	ENST00000615544.5	intron	NA	NA	NA	NA
chr17	4081	4127	-	ENST00000615544.5	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000644774.2	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000644774.2	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000644774.2	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000644774.2	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000644774.2	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000644774.2	intron	PacBio	NA	NA	ACTG1
chr17	2745	2957	-	ENST00000644774.2	CDS	PacBio	NA	NA	ACTG1
chr17	2957	3074	-	ENST00000644774.2	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000644774.2	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000644774.2	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000644774.2	intron	NA	NA	NA	NA
chr17	3576	3605	-	ENST00000644774.2	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000679410.1	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000679410.1	intron	NA	NA	NA	NA
chr17	1321	1675	-	ENST00000679410.1	UTR	NA	NA	NA	NA
chr17	1675	1769	-	ENST00000679410.1	intron	NA	NA	NA	NA
chr17	1769	1970	-	ENST00000679410.1	UTR	NA	NA	NA	NA
chr17	1971	2468	-	ENST00000679410.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000679410.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000679410.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000679410.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000679410.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000679410.1	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000679410.1	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000679410.1	UTR	NA	NA	NA	NA
chr17	818	1531	-	ENST00000679480.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000679480.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000679480.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000679480.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000679480.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000679480.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000679480.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000679480.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000679480.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000679480.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000679480.1	UTR	NA	NA	NA	NA
chr17	3202	3443	-	ENST00000679480.1	intron	NA	NA	NA	NA
chr17	3443	3513	-	ENST00000679480.1	UTR	NA	NA	NA	NA
chr17	820	1531	-	ENST00000679535.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000679535.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000679535.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000679535.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000679535.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000679535.1	CDS	PacBio	NA	NA	ACTG1
chr17	2469	2645	-	ENST00000679535.1	UTR	NA	NA	NA	NA
chr17	2645	2745	-	ENST00000679535.1	intron	NA	NA	NA	NA
chr17	2745	2984	-	ENST00000679535.1	UTR	NA	NA	NA	NA
chr17	2984	3074	-	ENST00000679535.1	intron	NA	NA	NA	NA
chr17	3074	3202	-	ENST00000679535.1	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000679535.1	intron	NA	NA	NA	NA
chr17	3576	3693	-	ENST00000679535.1	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000679778.1	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000679778.1	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000679778.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000679778.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000679778.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000679778.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000679778.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000679778.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000679778.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000679778.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000679778.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000679778.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000679778.1	UTR	NA	NA	NA	NA
chr17	3202	4035	-	ENST00000679778.1	intron	NA	NA	NA	NA
chr17	4035	4521	-	ENST00000679778.1	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000680227.1	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000680227.1	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000680227.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000680227.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000680227.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000680227.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000680227.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000680227.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000680227.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000680227.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000680227.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000680227.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000680227.1	UTR	NA	NA	NA	NA
chr17	3202	3457	-	ENST00000680227.1	intron	NA	NA	NA	NA
chr17	3457	3618	-	ENST00000680227.1	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000680727.1	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000680727.1	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000680727.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000680727.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000680727.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000680727.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000680727.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000680727.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000680727.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000680727.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000680727.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000680727.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3346	-	ENST00000680727.1	UTR	NA	NA	NA	NA
chr17	255	1531	-	ENST00000681052.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000681052.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000681052.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000681052.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000681052.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000681052.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000681052.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000681052.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000681052.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000681052.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000681052.1	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000681052.1	intron	NA	NA	NA	NA
chr17	3576	3636	-	ENST00000681052.1	UTR	NA	NA	NA	NA
chr17	3636	4686	-	ENST00000681052.1	intron	NA	NA	NA	NA
chr17	4686	4704	-	ENST00000681052.1	UTR	NA	NA	NA	NA
chr17	819	1171	-	ENST00000681092.1	UTR	NA	NA	NA	NA
chr17	1171	1321	-	ENST00000681092.1	intron	NA	NA	NA	NA
chr17	1321	1531	-	ENST00000681092.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000681092.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000681092.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000681092.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000681092.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000681092.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000681092.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2981	-	ENST00000681092.1	CDS	PacBio	NA	NA	ACTG1
chr17	2982	2984	-	ENST00000681092.1	UTR	NA	NA	NA	NA
chr17	2984	3090	-	ENST00000681092.1	intron	NA	NA	NA	NA
chr17	3090	3202	-	ENST00000681092.1	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000681092.1	intron	NA	NA	NA	NA
chr17	3576	3642	-	ENST00000681092.1	UTR	NA	NA	NA	NA
chr17	813	1129	-	ENST00000681842.1	UTR	NA	NA	NA	NA
chr17	1129	1238	-	ENST00000681842.1	intron	NA	NA	NA	NA
chr17	1238	1531	-	ENST00000681842.1	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000681842.1	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000681842.1	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000681842.1	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000681842.1	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000681842.1	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000681842.1	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000681842.1	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000681842.1	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000681842.1	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000681842.1	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000681842.1	intron	NA	NA	NA	NA
chr17	3576	3689	-	ENST00000681842.1	UTR	NA	NA	NA	NA
chr17	2	38	-	ONT10_4920_231	UTR	NA	NA	NA	NA
chr17	38	829	-	ONT10_4920_231	intron	NA	NA	NA	NA
chr17	829	1531	-	ONT10_4920_231	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ONT10_4920_231	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ONT10_4920_231	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ONT10_4920_231	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ONT10_4920_231	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ONT10_4920_231	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ONT10_4920_231	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ONT10_4920_231	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ONT10_4920_231	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ONT10_4920_231	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ONT10_4920_231	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ONT10_4920_231	intron	NA	NA	NA	NA
chr17	3576	3637	-	ONT10_4920_231	UTR	NA	NA	NA	NA
chr17	139	154	-	ONT17_2060_1298	UTR	NA	NA	NA	NA
chr17	154	845	-	ONT17_2060_1298	intron	NA	NA	NA	NA
